feature,id,X,Y
C,633,479772.5938,3155181.565
C,634,483447.5938,3155068.972
C,635,481992.5938,3155016.38
C,636,482457.5938,3155038.972
C,637,480792.5938,3154977.213
C,638,480102.5938,3154624.343
C,639,481677.5938,3154847.861
C,640,483687.5938,3154857.306
C,641,480567.5938,3154498.972
C,642,481527.5938,3153821.472
C,643,479862.5938,3154414.713
C,644,481212.5938,3153603.602
C,645,481182.5938,3152369.713
C,646,480012.5938,3153484.065
C,647,478932.5938,3153985.269
C,648,480642.5938,3153906.38
C,649,481002.5938,3153836.935
C,650,479787.5938,3153964.713
C,651,478482.5938,3153882.12
C,652,480147.5938,3153752.861
C,653,478197.5938,3153561.194
C,654,482337.5938,3153186.009
C,655,480372.5938,3153713.509
C,656,478122.5938,3153651.565
C,657,480612.5938,3153362.306
C,658,478992.5938,3153671.843
C,659,478602.5938,3153574.713
C,660,478137.5938,3153467.861
C,661,480432.5938,3153398.417
C,662,481287.5938,3153411.565
C,663,481527.5938,3152752.769
C,664,482037.5938,3153407.861
C,665,480822.5938,3153407.861
C,666,480327.5938,3153105.454
C,667,481602.5938,3153126.38
C,668,479127.5938,3153308.417
C,669,478437.5938,3153176.935
C,670,479832.5938,3153180.361
C,671,481647.5938,3153241.009
C,672,480207.5938,3153049.62
C,673,479382.5938,3153066.38
C,674,481167.5938,3153017.861
C,675,477687.5938,3153004.713
C,676,482217.5938,3152072.12
C,677,482262.5938,3152592.12
C,678,481257.5938,3152571.565
C,679,480597.5938,3152515.269
C,680,481407.5938,3152346.38
C,681,480822.5938,3152391.565
C,682,480282.5938,3152341.009
C,683,482742.5938,3151508.972
C,684,481122.5938,3151787.12
C,685,481167.5938,3151988.324
C,686,482067.5938,3151363.417
C,687,481887.5938,3151802.676
C,688,480762.5938,3150946.935
C,689,480387.5938,3151656.38
C,690,481317.5938,3150952.12
C,691,482862.5938,3151348.602
C,692,481242.5938,3151562.861
C,693,481872.5938,3151455.824
C,694,480177.5938,3151491.565
C,695,480042.5938,3151228.602
C,696,482367.5938,3151444.713
C,697,480912.5938,3151167.028
C,698,481407.5938,3151261.009
C,699,481812.5938,3151119.898
C,700,481977.5938,3151078.972
C,701,481977.5938,3150938.417
C,702,482307.5938,3150677.491
C,703,482052.5938,3150863.509
C,704,482067.5938,3150792.12
C,705,481542.5938,3150456.009
C,706,479817.5938,3150540.639
C,707,479502.5938,3150178.231
C,708,482067.5938,3150625.269
C,709,482187.5938,3150582.12
C,710,482667.5938,3150118.231
C,711,480312.5938,3150522.12
C,712,482652.5938,3150587.861
C,713,479622.5938,3150501.565
C,714,480027.5938,3150484.713
C,715,480087.5938,3150248.324
C,716,480897.5938,3149247.12
C,717,482772.5938,3148722.306
C,718,481947.5938,3150312.12
C,719,479952.5938,3150100.083
C,720,479337.5938,3150317.861
C,721,479592.5938,3150302.861
C,722,482427.5938,3150105.824
C,723,480447.5938,3150181.009
C,724,480327.5938,3150030.917
C,725,482817.5938,3150077.861
C,726,481917.5938,3149950.269
C,727,479427.5938,3149948.417
C,728,481137.5938,3149908.972
C,729,482907.5938,3149892.12
C,730,480417.5938,3149858.417
C,731,479292.5938,3149792.676
C,732,481602.5938,3149775.824
C,733,479397.5938,3149513.139
C,734,479652.5938,3149811.565
C,735,482742.5938,3149584.343
C,736,482112.5938,3149747.861
C,737,482352.5938,3149761.009
C,738,481302.5938,3149586.38
C,739,480237.5938,3149612.676
C,740,479967.5938,3149652.12
C,741,479007.5938,3149652.213
C,742,480462.5938,3149631.565
C,743,481872.5938,3149663.509
C,744,480492.5938,3149355.731
C,745,480147.5938,3149348.046
C,746,482082.5938,3149325.731
C,747,482322.5938,3149428.972
C,748,480267.5938,3149453.324
C,749,482217.5938,3149185.269
C,750,482697.5938,3149161.009
C,751,481737.5938,3149097.306
C,752,482517.5938,3147837.12
C,753,481842.5938,3148541.843
C,754,480927.5938,3148937.861
C,755,481692.5938,3148364.157
C,756,483162.5938,3147902.306
C,757,482802.5938,3148015.269
C,758,483012.5938,3148007.861
C,759,482922.5938,3147968.417
C,760,481887.5938,3147775.269
C,761,481812.5938,3147651.565
C,762,486357.5938,3139992.306
C,763,486177.5938,3139935.824
C,764,486042.5938,3139845.824
C,765,485547.5938,3139523.231
C,766,487212.5938,3138233.509
D,767,469932.5938,3157596.38
D,768,470217.5938,3157780.269
D,769,470532.5938,3157517.676
D,770,471417.5938,3157611.565
D,771,471192.5938,3157598.509
D,772,470307.5938,3157350.917
D,773,470097.5938,3157454.157
D,774,471597.5938,3157414.713
D,775,470577.5938,3156346.009
D,776,470412.5938,3157397.861
D,777,470607.5938,3157394.157
D,778,470967.5938,3157210.083
D,779,471687.5938,3157315.269
D,780,471057.5938,3157054.343
D,781,471852.5938,3157191.565
D,782,471537.5938,3157110.917
D,783,470652.5938,3157054.62
D,784,470637.5938,3156842.676
D,785,471687.5938,3156707.861
D,786,471567.5938,3156357.028
D,787,471777.5938,3156072.12
D,788,470997.5938,3156188.417
D,789,471642.5938,3156030.917
D,790,470997.5938,3155931.565
D,791,470772.5938,3155704.713
D,792,486447.5938,3153533.509
D,793,486417.5938,3153227.491
D,794,486222.5938,3153079.62
D,795,486432.5938,3152800.269
D,796,486642.5938,3152882.861
D,797,486387.5938,3152635.269
D,798,486717.5938,3152665.269
D,799,486972.5938,3152426.935
D,800,486372.5938,3152359.528
D,801,486522.5938,3152352.12
D,802,479127.5938,3142805.269
D,803,477747.5938,3143292.12
D,804,476427.5938,3143311.009
D,805,477012.5938,3143267.861
D,806,478827.5938,3143237.861
D,807,478092.5938,3143168.417
D,808,477957.5938,3142971.194
D,809,477462.5938,3143095.269
D,810,477852.5938,3143123.509
D,811,479052.5938,3143065.269
D,812,478902.5938,3142845.731
D,813,477162.5938,3143117.861
D,814,477417.5938,3142965.824
D,815,478827.5938,3142973.509
D,816,479277.5938,3142877.861
D,817,478017.5938,3142791.565
D,818,479082.5938,3142641.565
D,819,475572.5938,3140505.731
D,820,475272.5938,3140682.12
D,821,475482.5938,3140432.861
D,822,475497.5938,3140327.861
D,823,475662.5938,3140181.565
D,824,475452.5938,3140125.269
D,825,475992.5938,3140022.213
D,826,475437.5938,3139994.157
D,827,475467.5938,3139860.917
D,828,475842.5938,3139964.157
D,829,475572.5938,3139877.861
D,830,475467.5938,3139560.639
D,831,474777.5938,3139609.62
D,832,474987.5938,3139569.898
D,833,484572.5938,3138801.565
D,834,485187.5938,3137410.269
D,835,485382.5938,3137301.565
D,836,481107.5938,3136883.139
D,837,485487.5938,3137155.269
D,838,485367.5938,3137168.417
D,839,485187.5938,3137194.713
D,840,485232.5938,3136946.935
D,841,481332.5938,3136536.009
D,842,481182.5938,3136607.861
D,843,481527.5938,3136165.269
D,844,481377.5938,3135991.009
E,845,471717.5938,3159193.787
E,846,471612.5938,3159160.269
E,847,471372.5938,3158225.269
E,848,470427.5938,3158698.972
E,849,471297.5938,3158687.861
E,850,470517.5938,3158371.009
E,851,470967.5938,3158104.713
E,852,470217.5938,3157844.157
E,853,470682.5938,3157761.565
E,854,470157.5938,3157304.157
E,855,469662.5938,3156590.824
E,856,468642.5938,3156366.009
E,857,470922.5938,3155623.787
E,858,469242.5938,3155620.269
E,859,467202.5938,3155427.028
E,860,470622.5938,3155509.62
E,861,470802.5938,3155455.269
E,862,470862.5938,3155196.38
E,863,470592.5938,3155278.972
E,864,467067.5938,3155228.417
E,865,471237.5938,3155185.269
E,866,470877.5938,3155010.917
E,867,471552.5938,3155008.972
E,868,468102.5938,3155027.861
E,869,471312.5938,3154958.417
E,870,471192.5938,3154814.157
E,871,470682.5938,3154682.861
